id,tnea_code,sl_no,department_code,department_name,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_marker
2892,4932,6,ME,MECHANICAL ENGINEERING,60,2010,No,,##
2893,4932,7,IT,INFORMATION TECHNOLOGY,30,2009,No,,##
2894,4932,8,RM,ROBOTICS AND AUTOMATION,30,2023,No,,##
2895,4932,9,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2023,No,,##
2896,4932,10,AG,AGRICULTURAL ENGINEERING,30,2026,,,##
2897,4932,11,BM,BIO MEDICAL ENGINEERING,120,2026,,,##
2898,4932,12,SC,Computer Science and Engineering (Cyber Security),60,2026,,,##
2899,4932,13,FD,FOOD TECHNOLOGY,30,2026,,,##
2900,4932,14,CI,Computer Science and Engineering (Internet of Things),60,2026,,,##
2901,4932,15,MR,MARINE ENGINEERING,15,2026,,,##
2902,4933,1,CS,COMPUTER SCIENCE AND ENGINEERING,120,2011,No,,
2903,4933,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,90,2009,No,,
2904,4933,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2009,No,,
2905,4933,4,ME,MECHANICAL ENGINEERING,30,2009,No,,
2906,4933,5,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2024,No,,
2907,4934,1,BM,BIO MEDICAL ENGINEERING,60,2021,No,,
2908,4934,2,CS,COMPUTER SCIENCE AND ENGINEERING,60,2009,No,,
2909,4934,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
2910,4934,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2009,No,,
2911,4934,5,ME,MECHANICAL ENGINEERING,30,2009,No,,
2912,4934,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2024,No,,
2913,4934,7,IT,INFORMATION TECHNOLOGY,30,2024,No,,
2914,4938,1,AG,AGRICULTURAL ENGINEERING,60,2021,No,,
2915,4938,2,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
2916,4938,3,CE,CIVIL ENGINEERING,60,2009,No,,
2917,4938,4,CS,COMPUTER SCIENCE AND ENGINEERING,60,2009,No,,
2918,4938,5,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2009,No,,
2919,4938,6,BM,BIO MEDICAL ENGINEERING,60,2025,No,,
2920,4941,1,SC,Computer Science and Engineering (Cyber Security),60,2024,No,,
2921,4941,2,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2024,No,,
2922,4941,3,CS,COMPUTER SCIENCE AND ENGINEERING,60,2009,No,,
2923,4941,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2009,No,,
2924,4941,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
2925,4944,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,240,2021,No,,
2926,4944,2,CS,COMPUTER SCIENCE AND ENGINEERING,240,2009,No,,
2927,4944,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2009,No,,
2928,4944,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,180,2009,No,,
2929,4944,5,IT,INFORMATION TECHNOLOGY,60,2022,No,,
2930,4946,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2022,No,,
2931,4946,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,2009,No,,
2932,4946,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2009,No,,
2933,4946,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2010,No,,
2934,4946,5,IT,INFORMATION TECHNOLOGY,60,2023,No,,
2935,4946,6,ME,MECHANICAL ENGINEERING,60,2009,No,,
2936,4949,1,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
2937,4949,2,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2009,No,,
2938,4949,3,ME,MECHANICAL ENGINEERING,60,2009,No,,
2939,4949,4,CE,CIVIL ENGINEERING,30,2009,No,,
2940,4949,5,IN,INDUSTRIAL ENGINEERING AND MANAGEMENT,30,2010,No,,
2941,4949,6,CS,COMPUTER SCIENCE AND ENGINEERING,60,2012,No,,
2942,4949,7,MZ,Mechatronics Engineering,60,2012,No,,
2943,4949,8,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2024,No,,
2944,4949,9,IT,INFORMATION TECHNOLOGY,30,2024,No,,
2945,4952,1,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2024,No,,
2946,4952,2,CE,CIVIL ENGINEERING,30,2005,No,,
2947,4952,3,CS,COMPUTER SCIENCE AND ENGINEERING,120,1995,No,,
2948,4952,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,1995,No,,
2949,4952,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,1999,No,,
2950,4952,6,ME,MECHANICAL ENGINEERING,60,1995,No,,
2951,4952,7,IT,INFORMATION TECHNOLOGY,60,2000,No,,
2952,4952,8,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
2953,4953,1,CE,CIVIL ENGINEERING,30,2008,No,,
2954,4953,2,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2023,No,,
2955,4953,3,CS,COMPUTER SCIENCE AND ENGINEERING,120,2001,No,,
2956,4953,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2001,No,,
2957,4953,5,IT,INFORMATION TECHNOLOGY,60,2001,No,,
2958,4953,6,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2005,No,,
2959,4953,7,ME,MECHANICAL ENGINEERING,90,2005,No,,
2960,4954,1,CE,CIVIL ENGINEERING,30,2002,No,,
2961,4954,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,1995,No,,**
